iter	Passed	Remaining
0	4	1697
1	8	1694
2	12	1615
3	15	1545
4	18	1499
5	23	1546
6	27	1525
7	30	1492
8	33	1438
9	36	1424
10	40	1439
11	44	1445
12	48	1442
13	51	1427
14	54	1409
15	58	1415
16	62	1403
17	65	1395
18	69	1393
19	73	1390
20	77	1394
21	80	1384
22	84	1378
23	87	1366
24	91	1369
25	94	1362
26	98	1354
27	101	1351
28	105	1343
29	109	1347
30	112	1339
31	115	1333
32	119	1327
33	123	1327
34	126	1321
35	130	1316
36	134	1315
37	137	1307
38	141	1305
39	144	1301
40	147	1293
41	151	1287
42	154	1280
43	158	1278
44	161	1272
45	164	1268
46	168	1264
47	171	1261
48	175	1260
49	179	1254
50	182	1252
51	186	1245
52	189	1243
53	193	1239
54	196	1232
55	200	1230
56	203	1226
57	207	1226
58	211	1221
59	214	1216
60	216	1201
61	219	1198
62	223	1195
63	226	1190
64	229	1185
65	233	1181
66	236	1176
67	240	1173
68	243	1169
69	247	1166
70	251	1165
71	255	1163
72	258	1159
73	262	1155
74	266	1152
75	269	1150
76	273	1148
77	277	1145
78	280	1140
79	284	1137
80	288	1136
81	291	1132
82	295	1128
83	298	1124
84	302	1119
85	306	1118
86	309	1115
87	313	1111
88	316	1106
89	320	1104
90	324	1101
91	328	1098
92	331	1095
93	334	1090
94	338	1087
95	342	1084
96	345	1079
97	348	1074
98	351	1069
99	356	1068
100	359	1063
101	363	1060
102	366	1056
103	370	1055
104	374	1051
105	377	1047
106	381	1044
107	384	1039
108	388	1036
109	391	1033
110	395	1029
111	398	1025
112	401	1020
113	406	1018
114	409	1014
115	413	1011
116	416	1007
117	420	1004
118	423	1000
119	427	996
120	430	992
121	433	987
122	437	985
123	440	981
124	444	977
125	447	974
126	451	970
127	455	967
128	458	963
129	462	959
130	465	955
131	469	953
132	472	949
133	476	945
134	479	942
135	483	937
136	487	935
137	490	930
138	493	927
139	496	922
140	500	918
141	503	915
142	507	911
143	510	908
144	514	904
145	518	902
146	521	898
147	525	895
148	529	892
149	533	888
150	537	885
151	540	882
152	544	878
153	547	874
154	550	870
155	554	867
156	557	863
157	561	859
158	564	855
159	568	852
160	572	849
161	576	846
162	580	843
163	583	840
164	587	836
165	590	832
166	594	828
167	597	825
168	601	822
169	605	818
170	608	814
171	611	811
172	615	807
173	618	803
174	622	800
175	625	796
176	628	792
177	630	786
178	634	782
179	638	779
180	641	776
181	644	772
182	648	768
183	652	766
184	656	762
185	659	758
186	662	755
187	666	751
188	670	748
189	673	744
190	677	741
191	680	737
192	684	734
193	687	730
194	691	726
195	694	722
196	697	718
197	701	715
198	705	712
199	708	708
200	710	703
201	713	699
202	717	696
203	721	693
204	724	689
205	728	686
206	731	682
207	745	687
208	748	684
209	752	681
210	756	677
211	759	673
212	763	670
213	767	666
214	770	663
215	774	659
216	777	655
217	780	651
218	784	648
219	788	645
220	792	641
221	796	638
222	800	635
223	803	631
224	807	628
225	810	624
226	814	620
227	818	617
228	821	613
229	825	610
230	828	606
231	832	602
232	835	599
233	839	595
234	842	591
235	846	588
236	850	584
237	853	580
238	856	577
239	861	574
240	865	570
241	868	567
242	871	563
243	875	559
244	878	556
245	883	552
246	886	549
247	889	545
248	893	541
249	896	537
250	900	534
251	903	530
252	907	527
253	912	524
254	917	521
255	922	518
256	926	515
257	931	512
258	935	509
259	939	506
260	944	503
261	949	500
262	953	496
263	956	492
264	960	489
265	964	485
266	966	481
267	970	478
268	974	474
269	977	470
270	981	467
271	985	463
272	988	459
273	992	456
274	995	452
275	999	449
276	1002	444
277	1005	441
278	1008	437
279	1011	433
280	1015	430
281	1018	426
282	1021	422
283	1024	418
284	1027	414
285	1030	410
286	1034	407
287	1037	403
288	1041	400
289	1045	396
290	1049	392
291	1052	389
292	1055	385
293	1059	381
294	1063	378
295	1066	374
296	1069	370
297	1072	367
298	1075	363
299	1079	359
300	1082	356
301	1086	352
302	1089	348
303	1092	345
304	1096	341
305	1102	338
306	1108	335
307	1114	332
308	1119	329
309	1123	326
310	1126	322
311	1130	318
312	1133	315
313	1137	311
314	1140	307
315	1144	304
316	1148	300
317	1151	296
318	1155	293
319	1158	289
320	1162	286
321	1165	282
322	1169	278
323	1172	275
324	1175	271
325	1179	267
326	1182	264
327	1185	260
328	1189	256
329	1192	252
330	1196	249
331	1200	245
332	1202	242
333	1205	238
334	1208	234
335	1211	230
336	1214	226
337	1216	223
338	1219	219
339	1222	215
340	1225	211
341	1228	208
342	1231	204
343	1233	200
344	1236	197
345	1239	193
346	1242	189
347	1245	186
348	1248	182
349	1251	178
350	1253	175
351	1256	171
352	1259	167
353	1262	164
354	1265	160
355	1267	156
356	1270	153
357	1273	149
358	1276	145
359	1279	142
360	1282	138
361	1285	134
362	1287	131
363	1290	127
364	1293	124
365	1296	120
366	1298	116
367	1301	113
368	1304	109
369	1306	105
370	1309	102
371	1312	98
372	1315	95
373	1318	91
374	1320	88
375	1323	84
376	1326	80
377	1329	77
378	1332	73
379	1335	70
380	1337	66
381	1340	63
382	1343	59
383	1346	56
384	1349	52
385	1352	49
386	1354	45
387	1357	41
388	1360	38
389	1363	34
390	1366	31
391	1369	27
392	1371	24
393	1375	20
394	1377	17
395	1380	13
396	1382	10
397	1385	6
398	1388	3
399	1391	0
